"issue_time","plate","make","body_style","color","agency","violation_code","violation","fine"
"1543","CA","TOYT","PA","RD","56","88.13B+","METER EXP.","$63"
"1009","CA","HOND","PA","SL","53","80.69BS","NO PARK/STREET CLEAN","$73"
"948","CA","TOYT","PA","GY","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1030","CA","BMW","PA","BL","56","88.13B+","METER EXP.","$63"
"1533","CA","TOYT","PA","SL","56","80.58L","PREFERENTIAL PARKING","$68"
"1848","CA","HOND","PA","BK","56","88.13B+","METER EXP.","$63"
"809","CA","TOYT","VN","BL","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1011","CA","BMW","PA","BK","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1012","CA","MERZ","PA","WT","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1351","CA","FORD","PA","BL","54","80.69C","PARKED OVER TIME LIM","$58"
"812","CA","TOYT","PA","SL","57","88.13B+","METER EXP.","$63"
"1009","CA","FORD","PU","RD","56","80.56E4+","RED ZONE","$93"
"1223","CA","TOYT","PA","SL","55","80.69BS","NO PARK/STREET CLEAN","$73"
"826","CA","HOND","PA","BK","51","80.69BS","NO PARK/STREET CLEAN","$73"
"810","CA","CHEV","PA","GN","54","8.06E+02","WHITE ZONE","$58"
"1143","CA","TOYT","PA","BL","51","80.56E4+","RED ZONE","$93"
"1021","CA","FORD","PU","BK","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1902","CA","BMW","PA","GY","56","5200","DISPLAY OF PLATES","$25"
"1416","CA","TOYT","PA","SL","54","80.69AP+","NO STOP/STANDING","$93"
"1713","CA","NISS","PA","GY","54","88.13B+","METER EXP.","$63"
"818","CA","FORD","PA","SI","51","8069BS","NO PARK/STREET CLEAN","$73"
"902","CA","NISS","PA","SL","55","80.69BS","NO PARK/STREET CLEAN","$73"
"821","CA","FORD","PU","WT","54","88.13B+","METER EXP.","$63"
"857","CA","HOND","PA","WT","57","5204A-","DISPLAY OF TABS","$25"
"1539","CA","TOYT","PA","WT","53","80.58L","PREFERENTIAL PARKING","$68"
"1328","CA","NISS","PA","WT","51","80.69BS","NO PARK/STREET CLEAN","$73"
"812","CA","CHEV","PA","BL","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1625","CA","HOND","PA","WT","56","5204A-","DISPLAY OF TABS","$25"
"1044","CA","HOND","PA","SL","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1547","CA","MERZ","PA","WT","54","88.13B+","METER EXP.","$63"
"1841","CA","CHEV","PA","BK","51","5200","DISPLAY OF PLATES","$25"
"835","CA","CHEV","PA","BK","54","80.69AP+","NO STOP/STANDING","$93"
"1113","CA","HOND","PA","SL","56","88.13B+","METER EXP.","$63"
"2312","CA","TOYT","PA","WT","54","80.58L","PREFERENTIAL PARKING","$68"
"635","CA","FORD","PA","BL","56","5204A-","DISPLAY OF TABS","$25"
"1811","CA","HOND","PA","WT","54","80.58L","PREFERENTIAL PARKING","$68"
"1312","CA","NISS","PA","WT","54","80.58L","PREFERENTIAL PARKING","$68"
"1015","CA","TOYT","PA","BK","56","80.69BS","NO PARK/STREET CLEAN","$73"
"142","CA","CHEV","PU","GY","55","5204A-","DISPLAY OF TABS","$25"
"1316","CA","NISS","PA","BK","56","80.56E4+","RED ZONE","$93"
"1103","CA","HOND","PA","GY","56","8.06E+07","RED ZONE","$93"
"854","CA","NISS","PA","SL","53","5200","DISPLAY OF PLATES","$25"
"809","CA","FORD","PA","BK","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1721","CA","FORD","TK","GN","55","80.69AP+","NO STOP/STANDING","$93"
"1204","CA","NISS","PA","WT","51","80.58L","PREFERENTIAL PARKING","$68"
"1903","CA","HOND","PA","BK","55","5204A-","DISPLAY OF TABS","$25"
"1141","CA","BMW","PA","WT","51","88.13B+","METER EXP.","$63"
"1253","CA","HOND","PA","SL","54","5204A-","DISPLAY OF TABS","$25"
"1103","CA","HOND","PA","GY","51","88.13B+","METER EXP.","$63"
"1409","CA","TOYT","PA","GY","51","88.13B+","METER EXP.","$63"
"1225","CA","TOYT","PA","SL","56","80.56E4+","RED ZONE","$93"
"1111","CA","FORD","PA","BL","54","5200","DISPLAY OF PLATES","$25"
"1237","CA","NISS","PA","BK","56","80.69BS","NO PARK/STREET CLEAN","$73"
"1416","CA","TOYT","PA","SL","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1158","CA","BMW","PA","BL","56","80.69C","PARKED OVER TIME LIM","$58"
"1209","CA","TOYT","PA","WT","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1229","PA","FORD","PA","WT","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1341","CA","CHEV","CM","SL","56","80.69C","PARKED OVER TIME LIM","$58"
"841","CA","HOND","PA","SL","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1313","CA","TOYT","PA","SL","54","80.69C","PARKED OVER TIME LIM","$58"
"1856","CA","TOYT","PA","SL","53","88.13B+","METER EXP.","$63"
"927","CA","NISS","PA","BK","51","8.06E+02","WHITE ZONE","$58"
"813","CA","CHEV","PA","BK","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1031","CA","HOND","PA","BK","55","5204A-","DISPLAY OF TABS","$25"
"914","CA","TOYT","PA","BL","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1340","CA","CHEV","PA","BK","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1228","CA","HOND","PA","SL","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1722","CA","HOND","PA","BK","54","80.69C","PARKED OVER TIME LIM","$58"
"1026","CA","TOYT","TK","WT","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1212","CA","HOND","PA","GY","56","80.69BS","NO PARK/STREET CLEAN","$73"
"1228","CA","NISS","PA","GY","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1029","CA","FORD","PA","WT","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1404","CA","TOYT","PA","BK","56","80.69C","PARKED OVER TIME LIM","$58"
"1726","CA","HOND","PA","SL","56","88.13B+","METER EXP.","$63"
"2058","CA","TOYT","PA","BK","56","80.69AP+","NO STOP/STANDING","$93"
"1005","CA","FORD","PA","SL","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1255","CA","HOND","PA","GN","55","80.69BS","NO PARK/STREET CLEAN","$73"
"925","CA","NISS","PA","GY","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1926","CA","FORD","PU","SL","54","80.58L","PREFERENTIAL PARKING","$68"
"855","CA","TOYT","PA","BK","53","80.69AP+","NO STOP/STANDING","$93"
"1326","OK","FORD","CM","WT","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1217","CA","NISS","PA","SL","55","80.69C","PARKED OVER TIME LIM","$58"
"1154","CA","NISS","PU","RD","53","80.69C","PARKED OVER TIME LIM","$58"
"416","CA","CHEV","VN","WT","55","80.69BS","NO PARK/STREET CLEAN","$73"
"1104","CA","NISS","PA","BK","53","80.69C","PARKED OVER TIME LIM","$58"
"1010","CA","MERZ","PA","BK","55","5204A-","DISPLAY OF TABS","$25"
"1100","CA","FORD","TK","WT","55","5204A-","DISPLAY OF TABS","$25"
"950","CA","BMW","PA","WT","56","80.69BS","NO PARK/STREET CLEAN","$73"
"1952","CA","MERZ","PA","WT","53","88.13B+","METER EXP.","$63"
"1119","CA","TOYT","PA","RD","55","80.69BS","NO PARK/STREET CLEAN","$73"
"1517","CA","TOYT","PA","WT","51","5204A-","DISPLAY OF TABS","$25"
"818","CA","TOYT","PA","SL","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1113","CA","NISS","PA","GY","51","88.13B+","METER EXP.","$63"
"1857","CA","HOND","PA","BK","54","88.13B+","METER EXP.","$63"
"1521","CA","MERZ","PA","WT","54","5200","DISPLAY OF PLATES","$25"
"1334","CA","TOYT","PA","GY","55","80.69BS","NO PARK/STREET CLEAN","$73"
"1348","CA","FORD","PA","GY","53","80.56E4+","RED ZONE","$93"
"807","CA","BMW","PA","SL","56","80.69BS","NO PARK/STREET CLEAN","$73"
"1340","CA","TOYT","PA","GY","54","88.13B+","METER EXP.","$63"
"1207","CA","NISS","PA","BK","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1115","CA","HOND","PA","BK","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1626","CA","TOYT","PA","GY","53","88.13B+","METER EXP.","$63"
"847","AZ","TOYT","PA","GY","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1320","CA","NISS","PA","SL","56","88.13B+","METER EXP.","$63"
"1055","CA","CHEV","PA","WT","56","88.13B+","METER EXP.","$63"
"1811","CA","TOYT","PA","GY","54","80.58L","PREFERENTIAL PARKING","$68"
"852","CA","NISS","TK","BK","55","80.69BS","NO PARK/STREET CLEAN","$73"
"1112","CA","BMW","PA","SL","54","80.58L","PREFERENTIAL PARKING","$68"
"1238","CA","TOYT","PA","WT","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1204","CA","HOND","PA","SL","56","5204A-","DISPLAY OF TABS","$25"
"1243","TX","TOYT","PA","BK","54","80.69C","PARKED OVER TIME LIM","$58"
"1430","CA","NISS","PA","GY","54","5204A-","DISPLAY OF TABS","$25"
"1514","CA","MERZ","PA","BK","54","88.13B+","METER EXP.","$63"
"1124","CA","CHEV","PA","RD","54","88.13B+","METER EXP.","$63"
"818","CA","NISS","PU","BK","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1047","CA","NISS","PA","GY","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1219","CA","TOYT","PA","BL","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1045","CA","HOND","VN","GY","55","80.69BS","NO PARK/STREET CLEAN","$73"
"819","CA","TOYO","PA","BK","51","8069BS","NO PARK/STREET CLEAN","$73"
"824","CA","CHEV","PA","BL","57","5204A-","DISPLAY OF TABS","$25"
"810","CA","BMW","PA","BK","56","80.69BS","NO PARK/STREET CLEAN","$73"
"1229","TX","NISS","PA","BK","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1030","CA","FORD","PU","SL","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1210","CA","FORD","PU","BK","53","80.56E4+","RED ZONE","$93"
"850","CA","BMW","PA","BK","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1121","CA","BMW","PA","BK","51","88.13B+","METER EXP.","$63"
"1212","CA","TOYT","PA","SL","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1121","CA","BMW","PA","SL","54","80.58L","PREFERENTIAL PARKING","$68"
"1453","CA","TOYT","PU","GY","54","88.13B+","METER EXP.","$63"
"851","CA","HOND","PA","BK","51","80.56E4+","RED ZONE","$93"
"857","CA","MERZ","PA","SL","53","5200","DISPLAY OF PLATES","$25"
"1904","CA","NISS","PA","SL","56","80.56E4+","RED ZONE","$93"
"1615","CA","FORD","PA","BK","53","88.13B+","METER EXP.","$63"
"1035","CA","HOND","PA","WT","54","88.13B+","METER EXP.","$63"
"1022","CA","TOYT","PA","BK","51","80.69BS","NO PARK/STREET CLEAN","$73"
"733","CA","TOYT","PA","GY","57","5204A-","DISPLAY OF TABS","$25"
"1358","CA","NISS","PA","GY","54","88.13B+","METER EXP.","$63"
"1632","CA","TOYT","PA","GY","54","5204A-","DISPLAY OF TABS","$25"
"1036","CA","TOYT","PA","WT","51","88.13B+","METER EXP.","$63"
"1600","CA","CHEV","PA","WT","53","88.13B+","METER EXP.","$63"
"852","CA","FORD","PA","WT","54","5200","DISPLAY OF PLATES","$25"
"1332","CA","MERZ","VN","WT","51","80.56E4+","RED ZONE","$93"
"1521","CA","TOYT","PA","GY","51","80.69C","PARKED OVER TIME LIM","$58"
"1017","CA","HOND","PA","GY","54","80.69BS","NO PARK/STREET CLEAN","$73"
"836","CA","HOND","PA","GY","56","80.69AP+","NO STOP/STANDING","$93"
"1013","CA","HOND","PA","GY","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1829","CA","TOYT","CM","BL","51","88.13B+","METER EXP.","$63"
"821","CA","NISS","PA","WT","56","80.69BS","NO PARK/STREET CLEAN","$73"
"849","CA","HOND","PA","RD","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1017","CA","CHEV","PA","SL","54","80.69BS","NO PARK/STREET CLEAN","$73"
"807","NV","FORD","PA","BK","55","80.69BS","NO PARK/STREET CLEAN","$73"
"1658","CA","BMW","PA","BK","56","88.13B+","METER EXP.","$63"
"1735","CA","NISS","CM","GY","53","5200","DISPLAY OF PLATES","$25"
"657","CA","FORD","PU","BK","55","8.06E+07","RED ZONE","$93"
"1156","CA","FORD","PA","GY","56","88.13B+","METER EXP.","$63"
"813","CA","HOND","PA","BL","56","80.69BS","NO PARK/STREET CLEAN","$73"
"1234","CA","FORD","PU","WT","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1117","CA","TOYT","PA","BK","53","88.13B+","METER EXP.","$63"
"807","CA","TOYT","PA","BK","54","80.69BS","NO PARK/STREET CLEAN","$73"
"847","CA","TOYT","PA","SL","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1212","CA","TOYT","PA","GY","54","80.69BS","NO PARK/STREET CLEAN","$73"
"855","CA","HOND","PA","GY","51","80.69BS","NO PARK/STREET CLEAN","$73"
"826","CA","BMW","PA","BL","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1140","CA","HOND","PA","BK","53","88.13B+","METER EXP.","$63"
"813","CA","FORD","PA","BK","56","80.69BS","NO PARK/STREET CLEAN","$73"
"1033","CA","BMW","PA","GY","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1756","CA","TOYT","PA","GY","51","88.13B+","METER EXP.","$63"
"1857","CA","TOYT","PA","GY","51","8.06E+02","WHITE ZONE","$58"
"902","CA","CHEV","PA","WT","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1911","CA","HOND","PA","GY","51","88.13B+","METER EXP.","$63"
"1220","CA","TOYT","PA","GY","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1038","CA","CHEV","PA","GY","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1253","CA","MERC","PA","SI","1","8.06E+04","WHITE ZONE","$58"
"1207","CA","BMW","PA","BK","51","80.69BS","NO PARK/STREET CLEAN","$73"
"830","CA","HOND","PA","GY","55","80.69BS","NO PARK/STREET CLEAN","$73"
"1630","CA","TOYT","PA","BK","54","88.13B+","METER EXP.","$63"
"1254","CA","TOYT","PA","SL","54","80.69C","PARKED OVER TIME LIM","$58"
"1805","CA","BMW","PA","BK","54","80.58L","PREFERENTIAL PARKING","$68"
"1100","CA","BMW","PA","SL","54","5204A-","DISPLAY OF TABS","$25"
"823","CA","BMW","PA","SI","51","8069BS","NO PARK/STREET CLEAN","$73"
"1448","CA","BMW","PA","WT","54","5200","DISPLAY OF PLATES","$25"
"847","CA","CHEV","PA","BK","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1721","CA","NISS","PA","BK","51","88.13B+","METER EXP.","$63"
"309","CA","MERZ","PA","SL","55","80.56E4+","RED ZONE","$93"
"1813","CA","TOYT","PA","WT","55","80.69AP+","NO STOP/STANDING","$93"
"1053","CA","TOYT","PU","WT","55","80.69BS","NO PARK/STREET CLEAN","$73"
"816","CA","TOYT","PA","WT","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1313","CA","FORD","TK","WT","55","5204A-","DISPLAY OF TABS","$25"
"1844","NV","BMW","PA","BK","54","88.13B+","METER EXP.","$63"
"914","CA","HOND","PA","BL","51","5200","DISPLAY OF PLATES","$25"
"2314","IL","TOYT","PA","GY","54","80.58L","PREFERENTIAL PARKING","$68"
"1234","CA","CHEV","PA","BK","54","80.69BS","NO PARK/STREET CLEAN","$73"
"2027","CA","HOND","PA","GY","54","80.58L","PREFERENTIAL PARKING","$68"
"1432","CA","HOND","PA","BK","56","88.13B+","METER EXP.","$63"
"1108","CA","HOND","PA","GY","51","88.13B+","METER EXP.","$63"
"913","CA","FORD","PU","GY","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1439","CA","MERZ","PA","SL","51","88.13B+","METER EXP.","$63"
"1008","CA","NISS","PA","BK","55","80.69BS","NO PARK/STREET CLEAN","$73"
"1914","CA","HOND","PA","BK","55","80.56E4+","RED ZONE","$93"
"2238","CA","MERC","PA","GY","55","80.56E4+","RED ZONE","$93"
"1320","CA","MERZ","PA","WT","51","5200","DISPLAY OF PLATES","$25"
"1605","CA","CHEV","PA","GY","56","80.69AP+","NO STOP/STANDING","$93"
"1503","CA","MERZ","PA","BL","56","5200","DISPLAY OF PLATES","$25"
"1026","CA","FORD","PA","GY","56","80.69BS","NO PARK/STREET CLEAN","$73"
"1126","CA","HOND","PA","GN","56","88.13B+","METER EXP.","$63"
"1417","ID","TOYT","PA","BK","51","88.13B+","METER EXP.","$63"
"1656","NV","TOYT","PA","RD","53","88.13B+","METER EXP.","$63"
"1220","CA","NISS","VN","GN","54","5204A-","DISPLAY OF TABS","$25"
"832","NC","CHEV","PA","BL","54","80.69BS","NO PARK/STREET CLEAN","$73"
"321","CA","MERZ","PA","BK","51","80.58L","PREFERENTIAL PARKING","$68"
"951","CA","HOND","PA","WT","53","5204A-","DISPLAY OF TABS","$25"
"1006","CA","HOND","PA","BK","51","88.13B+","METER EXP.","$63"
"658","CA","HOND","PA","BK","55","8.06E+07","RED ZONE","$93"
"2216","CA","TOYT","PA","GN","53","5204A-","DISPLAY OF TABS","$25"
"1056","CA","HOND","PA","SL","55","80.69BS","NO PARK/STREET CLEAN","$73"
"1125","CA","TOYT","PA","SL","54","80.69BS","NO PARK/STREET CLEAN","$73"
"29","CA","TOYT","PA","WT","55","80.56E4+","RED ZONE","$93"
"1214","CA","BMW","PA","BK","56","88.13B+","METER EXP.","$63"
"201","CA","FORD","PA","SL","51","5204A-","DISPLAY OF TABS","$25"
"9","CA","MERZ","PA","SL","51","5204A-","DISPLAY OF TABS","$25"
"1206","CA","TOYT","PA","WT","56","80.69C","PARKED OVER TIME LIM","$58"
"813","CA","BMW","PA","WT","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1022","CA","HOND","PA","BK","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1646","TX","TOYT","PA","GY","56","88.13B+","METER EXP.","$63"
"1107","CA","TOYT","PA","WT","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1223","CO","TOYT","PA","SL","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1126","CA","CHEV","TK","WT","54","80.69BS","NO PARK/STREET CLEAN","$73"
"818","CA","NISS","PA","SL","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1242","CA","NISS","VN","GY","55","80.69BS","NO PARK/STREET CLEAN","$73"
"825","CA","TOYT","PA","GY","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1901","IL","TOYT","PA","GY","54","88.13B+","METER EXP.","$63"
"1243","CA","HOND","PA","BL","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1219","CA","CHEV","PA","WT","54","80.69BS","NO PARK/STREET CLEAN","$73"
"842","CA","HOND","PA","SL","54","80.69BS","NO PARK/STREET CLEAN","$73"
"818","CA","TOYT","PA","SL","54","88.13B+","METER EXP.","$63"
"1832","CA","FORD","PA","BK","55","80.56E4+","RED ZONE","$93"
"1337","CA","HOND","PA","BK","54","5200","DISPLAY OF PLATES","$25"
"242","CA","NISS","PA","WT","56","80.56E4+","RED ZONE","$93"
"1254","CA","BMW","PA","WT","53","88.13B+","METER EXP.","$63"
"1236","CA","CHEV","PA","WT","56","80.69BS","NO PARK/STREET CLEAN","$73"
"1259","CA","HOND","PA","GY","51","80.56E4+","RED ZONE","$93"
"1015","CA","HOND","PA","RD","56","80.69BS","NO PARK/STREET CLEAN","$73"
"1014","CA","CHEV","PA","SL","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1338","CA","NISS","PA","BK","56","88.13B+","METER EXP.","$63"
"2015","CA","NISS","PA","BK","54","80.58L","PREFERENTIAL PARKING","$68"
"834","CA","HOND","PA","GN","55","80.69BS","NO PARK/STREET CLEAN","$73"
"1833","CA","HOND","PA","GY","53","80.58L","PREFERENTIAL PARKING","$68"
"1910","TX","TOYT","PA","RD","54","8.06E+02","WHITE ZONE","$58"
"1654","CA","HOND","PA","SL","56","88.13B+","METER EXP.","$63"
"827","CA","NISS","PU","WT","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1006","CA","TOYT","PA","BK","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1143","CA","TOYT","PA","WT","53","80.58L","PREFERENTIAL PARKING","$68"
"1018","CA","TOYT","PA","WT","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1009","CA","FORD","PA","SL","53","80.69BS","NO PARK/STREET CLEAN","$73"
"944","CA","HOND","PA","WT","55","80.69BS","NO PARK/STREET CLEAN","$73"
"841","CA","TOYT","PA","RD","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1221","CA","TOYT","PA","WT","56","88.13B+","METER EXP.","$63"
"1214","CA","HOND","PA","BL","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1021","OR","TOYT","PA","WT","56","80.69BS","NO PARK/STREET CLEAN","$73"
"817","CA","HOND","PA","RD","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1808","CA","HOND","PA","SL","56","88.13B+","METER EXP.","$63"
"1154","CA","BMW","PA","SL","51","88.13B+","METER EXP.","$63"
"2304","CA","TOYT","PA","GY","53","88.13B+","METER EXP.","$63"
"932","CA","TOYT","PA","GY","55","80.69BS","NO PARK/STREET CLEAN","$73"
"1051","CA","HOND","PA","WT","56","88.13B+","METER EXP.","$63"
"1112","CA","TOYT","VN","GY","56","80.69BS","NO PARK/STREET CLEAN","$73"
"1701","NV","NISS","PA","GY","56","88.13B+","METER EXP.","$63"
"1833","CA","TOYT","PA","RD","53","88.13B+","METER EXP.","$63"
"2104","NV","TOYT","PA","BK","54","80.58L","PREFERENTIAL PARKING","$68"
"813","CA","TOYT","PA","BL","56","5200","DISPLAY OF PLATES","$25"
"1648","CA","CHEV","PA","RD","56","88.13B+","METER EXP.","$63"
"1245","CA","NISS","PA","WT","51","88.13B+","METER EXP.","$63"
"1519","CA","TOYT","PU","BK","56","88.13B+","METER EXP.","$63"
"1306","CA","MERZ","PA","BK","54","80.69AP+","NO STOP/STANDING","$93"
"1714","CA","TOYT","PA","GY","56","88.13B+","METER EXP.","$63"
"1818","NV","MERZ","PA","BK","54","80.58L","PREFERENTIAL PARKING","$68"
"1626","CA","TOYT","PA","BK","54","80.69C","PARKED OVER TIME LIM","$58"
"158","CA","TOYT","PA","SL","51","5204A-","DISPLAY OF TABS","$25"
"1020","CA","FORD","PA","BK","53","80.69C","PARKED OVER TIME LIM","$58"
"1706","CA","HOND","PA","GY","53","88.13B+","METER EXP.","$63"
"1213","CA","TOYT","PA","RD","53","80.69BS","NO PARK/STREET CLEAN","$73"
"421","CA","NISS","PA","GY","56","80.69BS","NO PARK/STREET CLEAN","$73"
"838","NY","MERZ","PA","GY","51","80.69BS","NO PARK/STREET CLEAN","$73"
"2105","NM","FORD","PA","WT","53","80.58L","PREFERENTIAL PARKING","$68"
"1901","CA","FORD","PA","BK","56","88.13B+","METER EXP.","$63"
"1654","CA","TOYT","SU","BK","54","80.69AP+","NO STOP/STANDING","$93"
"1149","MS","CHEV","PA","BL","56","88.13B+","METER EXP.","$63"
"1057","CA","FORD","PA","WT","54","88.13B+","METER EXP.","$63"
"813","NM","NISS","PA","GY","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1258","CA","CHEV","PA","BK","54","80.58L","PREFERENTIAL PARKING","$68"
"1427","CA","NISS","PU","BL","53","88.13B+","METER EXP.","$63"
"1951","CA","MERZ","PA","SL","56","88.13B+","METER EXP.","$63"
"1010","CA","TOYT","PA","GY","56","88.13B+","METER EXP.","$63"
"830","CA","TOYT","PA","GY","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1227","CA","HOND","PA","GY","54","8069BS","NO PARK/STREET CLEAN","$73"
"207","CA","CHEV","PA","WT","51","80.56E4+","RED ZONE","$93"
"1247","CA","TOYT","PA","RD","53","80.69BS","NO PARK/STREET CLEAN","$73"
"211","CA","CHEV","PU","BK","55","5200","DISPLAY OF PLATES","$25"
"1126","CA","TOYO","PA","SI","54","8069BS","NO PARK/STREET CLEAN","$73"
"1230","CA","TOYT","PA","SL","54","80.69C","PARKED OVER TIME LIM","$58"
"1921","CA","FORD","VN","WT","55","5204A-","DISPLAY OF TABS","$25"
"1040","NY","NISS","PA","WT","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1522","CA","BMW","PA","WT","54","88.13B+","METER EXP.","$63"
"1234","CA","TOYT","PA","WT","54","5204A-","DISPLAY OF TABS","$25"
"1839","CA","TOYT","PA","WT","54","80.58L","PREFERENTIAL PARKING","$68"
"943","CA","NISS","PA","SL","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1136","CA","MERZ","PA","BK","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1106","CA","MERZ","PA","BK","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1154","CA","FORD","PA","GY","51","8.06E+02","WHITE ZONE","$58"
"1925","CA","MERZ","PA","SL","54","80.58L","PREFERENTIAL PARKING","$68"
"956","CA","TOYT","PA","GN","55","80.69BS","NO PARK/STREET CLEAN","$73"
"1912","CA","TOYT","PA","SL","54","80.58L","PREFERENTIAL PARKING","$68"
"1637","CA","MERZ","PA","BK","56","88.13B+","METER EXP.","$63"
"1015","CA","CHEV","PA","WT","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1258","CA","TOYT","PU","WT","56","88.13B+","METER EXP.","$63"
"1453","CA","BMW","PA","SL","54","5204A-","DISPLAY OF TABS","$25"
"1932","CA","NISS","PA","BK","53","88.13B+","METER EXP.","$63"
"1208","CA","TOYT","PA","GY","54","80.69BS","NO PARK/STREET CLEAN","$73"
"934","CA","HOND","PA","BK","53","80.58L","PREFERENTIAL PARKING","$68"
"1120","CA","NISS","PA","SL","54","80.69BS","NO PARK/STREET CLEAN","$73"
"805","CA","HOND","PA","SL","54","80.69BS","NO PARK/STREET CLEAN","$73"
"810","CA","BMW","PA","WT","55","80.69BS","NO PARK/STREET CLEAN","$73"
"1532","CA","MERZ","PA","WT","51","88.13B+","METER EXP.","$63"
"1809","CA","MERZ","PA","WT","54","80.56E4+","RED ZONE","$93"
"1957","CA","BMW","PA","GY","51","88.13B+","METER EXP.","$63"
"1719","CA","HOND","PA","SL","53","88.13B+","METER EXP.","$63"
"1059","CA","TOYT","PA","WT","51","88.13B+","METER EXP.","$63"
"1841","CA","FORD","PA","BK","54","5204A-","DISPLAY OF TABS","$25"
"812","CA","HOND","PA","SL","51","5204A-","DISPLAY OF TABS","$25"
"1101","CA","MERZ","PA","BK","54","5204A-","DISPLAY OF TABS","$25"
"1311","CA","CHEV","PA","BK","51","80.56E4+","RED ZONE","$93"
"1151","CA","CHEV","PA","RD","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1126","CA","TOYT","PA","BL","57","80.69BS","NO PARK/STREET CLEAN","$73"
"1336","CA","NISS","PA","BK","56","80.69C","PARKED OVER TIME LIM","$58"
"816","CA","TOYT","PU","RD","54","80.56E4+","RED ZONE","$93"
"847","CA","MERZ","TK","BL","55","5204A-","DISPLAY OF TABS","$25"
"1811","CA","TOYT","PA","BK","54","80.58L","PREFERENTIAL PARKING","$68"
"1714","CA","TOYT","PA","SL","56","88.13B+","METER EXP.","$63"
"1006","CA","TOYT","VN","WT","54","80.69BS","NO PARK/STREET CLEAN","$73"
"913","CA","NISS","PA","GN","51","80.69BS","NO PARK/STREET CLEAN","$73"
"813","CA","CHEV","TK","RD","55","80.69BS","NO PARK/STREET CLEAN","$73"
